Alpha,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1_Score,Yes_Ratio
-3.0,0.4,1021,21,1479,479,0.8333333333333334,0.9798464491362764,0.6806666666666666,0.8033044846577497,0.3473333333333333
-4.0,0.4,851,9,1491,649,0.7806666666666666,0.9895348837209302,0.5673333333333334,0.7211864406779661,0.2866666666666667
-5.0,0.4,804,33,1467,696,0.757,0.9605734767025089,0.536,0.6880616174582799,0.279
-6.0,0.4,1268,1451,49,232,0.439,0.4663479220301581,0.8453333333333334,0.6010903057596586,0.9063333333333333
-7.0,0.4,1439,1490,10,61,0.483,0.4912939569819051,0.9593333333333334,0.6498080830887334,0.9763333333333334
-8.0,0.4,1439,1490,10,61,0.483,0.4912939569819051,0.9593333333333334,0.6498080830887334,0.9763333333333334
-9.0,0.4,1439,1490,10,61,0.483,0.4912939569819051,0.9593333333333334,0.6498080830887334,0.9763333333333334
-10.0,0.4,1439,1490,10,61,0.483,0.4912939569819051,0.9593333333333334,0.6498080830887334,0.9763333333333334
2.0,0.5,1423,1483,17,77,0.48,0.48967653131452166,0.9486666666666667,0.64593735814798,0.9686666666666667
1.0,0.5,1423,1483,17,77,0.48,0.48967653131452166,0.9486666666666667,0.64593735814798,0.9686666666666667
0.0,0.5,1311,115,1385,189,0.8986666666666666,0.9193548387096774,0.874,0.8961038961038961,0.47533333333333333
-1.0,0.5,1222,29,1471,278,0.8976666666666666,0.9768185451638689,0.8146666666666667,0.8884042166484913,0.417
-2.0,0.5,1217,29,1471,283,0.896,0.9767255216693419,0.8113333333333334,0.886380189366351,0.41533333333333333
-3.0,0.5,1114,23,1477,386,0.8636666666666667,0.9797713280562885,0.7426666666666667,0.844899507015548,0.379
-4.0,0.5,1008,14,1486,492,0.8313333333333334,0.9863013698630136,0.672,0.7993655828707374,0.3406666666666667
-5.0,0.5,979,37,1463,521,0.814,0.9635826771653543,0.6526666666666666,0.7782193958664546,0.33866666666666667
-6.0,0.5,1306,1451,49,194,0.45166666666666666,0.4737033006891549,0.8706666666666667,0.6135776368334508,0.919
-7.0,0.5,1423,1484,16,77,0.4796666666666667,0.4895080839353285,0.9486666666666667,0.6457907873837077,0.969
-8.0,0.5,1423,1484,16,77,0.4796666666666667,0.4895080839353285,0.9486666666666667,0.6457907873837077,0.969
-9.0,0.5,1423,1484,16,77,0.4796666666666667,0.4895080839353285,0.9486666666666667,0.6457907873837077,0.969
-10.0,0.5,1423,1484,16,77,0.4796666666666667,0.4895080839353285,0.9486666666666667,0.6457907873837077,0.969
2.0,0.6,1409,1480,20,91,0.47633333333333333,0.48771201107649703,0.9393333333333334,0.6420596946912737,0.963
1.0,0.6,1409,1480,20,91,0.47633333333333333,0.48771201107649703,0.9393333333333334,0.6420596946912737,0.963
